zip,lat,lng
77316,30.31022,-95.67998
77318,30.44572,-95.54319
77320,30.804,-95.55093
77326,30.50488,-94.81705
77327,30.32154,-94.92631
77328,30.3963,-95.19392
77331,30.6165,-95.16596
77334,30.77998,-95.36464
77335,30.58762,-94.92472
77336,30.06429,-95.09884
77338,30.00679,-95.29018
77339,30.04922,-95.22136
77340,30.64369,-95.53981
77342,30.74017,-95.55393
77345,30.05415,-95.159
77346,29.99497,-95.17718
77350,30.82872,-94.8481
77351,30.7127,-94.82192
77354,30.21107,-95.64787
77355,30.15769,-95.74806
77356,30.45055,-95.70182
77357,30.15847,-95.19113
77358,30.55777,-95.43502
77359,30.75385,-95.29988
77360,30.84704,-95.11402
77362,30.15826,-95.66832
77363,30.32935,-95.85389
77364,30.76591,-95.22091
77365,30.11106,-95.26741
77367,30.85583,-95.39831
77368,30.45857,-94.82625
77369,30.42366,-94.74519
77371,30.49362,-94.99091
77372,30.2408,-95.16107
77373,30.06145,-95.38415
77374,30.39595,-94.62253
77375,30.09543,-95.58939
77376,30.44803,-94.67383
77377,30.06135,-95.68202
77378,30.4574,-95.36868
77379,30.0391,-95.5338
77380,30.13644,-95.46867
77381,30.17818,-95.50144
77382,30.19805,-95.54607
77384,30.23494,-95.49526
77385,30.18888,-95.42224
77386,30.10125,-95.35583
77388,30.05984,-95.46851
77389,30.11516,-95.50749
77396,29.94821,-95.25987
77401,29.70443,-95.46175
77406,29.64358,-95.798
77407,29.67651,-95.71253
77412,29.555,-96.42817
77414,28.89959,-95.88091
77415,28.93254,-95.73575
77417,29.46456,-95.96703
77418,29.97879,-96.25057
77419,28.85075,-96.2561
77420,29.2581,-95.93008
77422,28.96093,-95.56106
77423,29.83893,-95.98251
77426,30.11817,-96.24904
77428,28.62311,-96.18974
77429,29.99104,-95.65878
77430,29.26718,-95.65369
77432,29.06992,-96.19387
77433,29.94913,-95.73923
77434,29.52568,-96.30213
77435,29.51733,-96.11113
77436,29.42393,-96.23226
77437,29.21304,-96.28036
77440,28.89496,-96.15087
77441,29.66827,-95.92279
77442,29.42427,-96.50681
77443,29.34828,-96.19267
77444,29.28815,-95.7772
77445,30.09967,-96.06494
77446,30.0868,-95.99048
77447,30.05123,-95.83044
77448,29.41537,-96.08662
77449,29.83556,-95.73813
77450,29.7463,-95.73832
77451,29.4379,-96.00165
77453,29.21196,-95.99945
77454,29.52037,-96.21862
77455,29.13957,-96.43033
77456,29.00034,-96.09042
77457,28.7091,-95.92231
77458,28.9529,-96.24037
77459,29.52569,-95.533
77460,29.39744,-96.38451
77461,29.38012,-95.80673
77464,29.59338,-95.96183
77465,28.76252,-96.22966
77466,29.80563,-96.01287
77467,29.21068,-96.12324
77468,29.14259,-95.93111
77469,29.48,-95.68315
77470,29.53215,-96.55143
